time,-p1,-p10,-p11,-p12,-p13,-p14,-p15,-p16,-p17,-p18,-p19,-p2,-p20,-p3,-p4,-p5,-p6,-p7,-p8,-p9,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
100,862.4194075205,862.41959478067,862.41890838654,862.41506261396,862.4464892756,862.58555196716,861.44073628006,848.48498872344,786.64330805436,600.86189232871,215.63234326706,209.04896687892,199.28476922601,186.44210447245,170.68097210598,152.21669310162,131.31652008567,108.29518768454,83.509429970473,57.351519419847,30.241915112874,27.456145823358,24.596349631928,21.670056176383,18.685035014774,15.649269066555,12.570926731212,9.458332838188,6.3199385975395,3.1642907342116,0
110,862.419489285,862.41951929655,862.41799016153,862.41876706446,862.47440209652,862.49296114601,859.99460528547,841.65958005703,768.115490916,569.66373590848,187.2278032179,181.065928702,172.24042732689,160.8407470872,147.00433061491,130.91446274399,112.79721551375,92.917523189006,71.574437962196,49.095637262077,25.831275338234,23.443361350841,20.994752029061,18.491666959437,15.940507500247,13.347836091143,10.720354773204,8.0648830161072,5.3883349563046,2.697696156275,0
120,862.41954863452,862.41926876106,862.41763248651,862.42696808606,862.49158713985,862.23902484508,857.94393536804,833.78860145677,749.28682672778,540.8243818101,163.38275632953,157.60589289841,149.59586669718,139.43037231701,127.22695139944,113.14109589104,97.363600211911,80.117201398274,61.65256131134,42.243660324582,22.182687040065,20.125690982742,18.018511864105,15.866314243046,13.674405699947,11.44822029443,9.1933015002373,6.9152846839599,4.6198791979081,2.3128501604951,0
130,862.41951217914,862.41893944067,862.41855779513,862.43803518365,862.47872112033,861.77438293847,855.27627137438,825.05384421318,730.48681296818,514.30370154867,143.33320723892,137.90532888248,130.60207218686,121.49077101829,110.67182166826,98.27704968233,84.467456186042,69.430381353578,53.376134952432,36.534155772291,19.148772881771,17.367888120058,15.54528796374,13.685277089317,11.792275235971,9.8708037770786,7.9254719161302,5.9609625563713,3.982017895433,1.9934247978827,0
140,862.41934642011,862.41873541663,862.42118046562,862.44790020215,862.41357251082,861.05928633652,852.00668815071,815.63442016125,711.95902649803,489.99405290297,126.44252230938,121.32967367011,114.63884099789,106.42836963915,96.784051297918,85.817733270533,73.665416390606,60.484875205948,46.452843903106,31.761820873495,16.616553339435,15.066669338634,13.481975854715,11.866071619218,10.222649138962,8.5554836963436,6.868422064472,5.1653709752542,3.4502853797053,1.7271565408008,0
150,862.41909376576,862.41890876236,862.4252941401,862.45017459443,862.27317201178,860.06510819255,848.17001778438,805.69644612391,693.87724990983,467.75218130688,112.18251163546,107.35347721267,101.19385159434,93.754243929422,85.108071083514,75.350379361615,64.596245098502,52.978782944052,40.64679879989,27.762131865151,14.496736945293,13.140589813452,11.755307411678,10.343906192984,8.9094796289182,7.4551891486925,5.9842548542228,4.4999460413253,3.0055715581185,1.5044700323604,0
160,862.41888079019,862.4196649141,862.42985393766,862.43658344379,862.03562052781,858.77426127979,843.81393191208,795.38796308426,676.36033445804,447.41919744779,100.11564159604,95.542137764823,89.844080334504,83.065445753642,75.269188135408,66.536243093909,56.964184486601,46.665558451446,35.765925748054,24.401649464866,12.71747050246,11.524195061291,10.306468611684,9.0668257645221,7.8078646960082,6.5322396558281,5.2426532955779,3.9418488418535,2.6326021389882,1.3177135869115,0
170,862.41889210943,862.42105584887,862.43288272052,862.39756625325,861.68138958175,857.17914999316,838.99334884236,784.8371893181,659.48482758986,428.83286459098,89.879529826338,85.536155444392,80.240056133953,74.029531062844,66.958692864344,59.096625845984,50.526257811174,41.342965967892,31.652942800785,21.571352696214,11.220314426103,10.164289290884,9.0876928245393,7.9926599136262,6.8813780827745,5.7560812831046,4.6190435347357,3.4725724432607,2.3190026105054,1.1606889602638,0
180,862.41931367092,862.42288159571,862.43149493482,862.32291607057,861.19411784754,855.28064579795,833.76619849883,774.15275702426,643.29524851476,411.83495781424,81.173869154087,77.037938098707,72.092792264795,66.371873168882,59.921819100096,52.801753485541,45.082336652146,36.844598112119,28.17857091738,19.181753633266,9.957428987569,9.0173447531573,8.0599104916012,7.0869287978644,6.1002459668002,5.1017468316105,4.0933494829932,3.0769998852639,2.0546664060844,1.0283342767219,0
190,862.42025666484,862.42461416866,862.42201140082,862.20236893036,860.5609822177,853.08641811691,828.19038320211,763.42503663062,627.81224150582,396.27547409178,73.749566216812,69.800887582805,65.163037701116,59.865300131719,53.947988724103,47.461845450905,40.467242501538,33.033202945359,25.236257891705,17.159161349754,8.8894868537627,8.04758886376,7.1910210676091,6.3213093110847,5.4400157957492,4.5487347816421,3.649088191957,2.7427211331011,1.831297343809,0.91649458721813,0
200,862.42167589841,862.42535078059,862.40013180969,862.02609488198,859.77274645082,850.60932248692,822.32171020695,752.72798218475,613.03894246777,382.01483674772,67.399781415209,63.620422814758,59.252467683249,54.321637399249,48.862887627868,42.919898137763,36.544400462594,29.795355358168,22.737994978169,15.44274737596,7.9840632820499,7.2255333537107,6.4545678061265,5.6724615904044,4.8805399604014,4.0801548885314,3.2726814008021,2.4595138421281,1.642062083194,0.82174768032806,0
210,862.42329469654,862.42379674893,862.36113331953,861.78507153223,858.82358669997,847.86595340982,816.21257393094,742.12115356172,598.96589477853,368.92483118758,61.952557722361,58.32661076005,54.196469910814,49.58480103727,44.52201348128,39.045827166341,33.200705183574,27.037161848164,20.610958655937,13.982202775323,7.2143646324288,6.5268145615978,5.828694534857,5.1211065369732,4.4051778548972,3.6820580831953,2.9529160627595,2.2189367619307,1.4813181093466,0.74126778798628,0
220,862.42454560307,862.41827518312,862.30007070795,861.47134152206,857.71077815278,844.8754081299,809.91119554115,731.65171663658,585.57481208951,356.8887498721,57.264761456359,53.778119360468,49.858235383688,45.525150575055,40.805410371343,35.731696663254,30.342348122936,24.680777144438,18.794793760391,12.735848712986,6.5582094386129,5.9312650385911,5.295311291874,4.6512886411988,4.0001586925471,3.3429017089351,2.680514048986,2.014005557844,1.3443969181414,0.67271696885667,0
230,862.42453157971,862.40675788815,862.21196056575,861.07816605197,856.43430730578,841.65826933854,803.4612633337,721.35631339076,572.84143580138,345.80105692914,53.217100137602,49.857252385976,46.123913181205,42.034864924311,37.613363175929,32.887823368989,27.891414579602,22.661567346651,17.239404190063,11.669102973741,5.9972045612076,5.4221633667606,4.8394205039555,4.2497809487346,3.6540674088304,3.0531182226766,2.4477852125431,1.8389314981644,1.2274292772562,0.61415757941781,0
240,862.42200923416,862.38691167048,862.09193942145,860.60009210723,854.99645679728,838.23579420267,796.90185250351,711.26275061028,560.73768783033,335.56677493144,49.710023080063,46.46586890726,42.898632965794,39.024150450987,34.862870351674,30.439588173693,25.783101253071,20.925792517345,15.903149923078,10.753230032543,5.5160752676516,4.9856243767555,4.4485694652669,3.9056017101981,3.3574271711299,2.8047650256853,2.2483457669941,1.6889093683602,1.1272034204398,0.56398124632548,0
250,862.41539280081,862.35615437175,861.93539116825,860.03295209591,853.40139456272,834.62928672788,790.26753256284,701.39148942188,549.23327794048,326.10072537923,46.660345111378,43.522026097759,40.103235673952,36.418126918451,32.484749605667,28.324821711098,23.963436356368,19.428709108875,14.75137168403,9.9643191188142,5.1021183730458,4.6101015070751,4.1124036110916,3.6096200937699,3.1023588771678,2.5912389121969,2.0768886624924,1.5599445610128,1.0410494437864,0.52085096528944,0
260,862.40277580943,862.31171564215,861.73804312945,859.37381344475,851.65478732359,830.85962669228,783.58859466091,691.7569372862,538.29689079709,317.32670762224,43.998462909643,40.957213911601,37.671582844529,34.154266513839,30.421259234741,26.491657065006,22.387408121883,18.13301311201,13.755181141226,9.282446715856,4.7447545818,4.2859795102562,3.822300955003,3.3542335808998,2.8823025934057,2.4070424873139,1.9289957691742,1.448711657011,0.96674476101443,0.48365374894017,0
