time,-p1,-p2,-p3,-p4,-p5,-p6,-p7,-p8,-p9,-p99,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
160,556.70171851815,552.74265359232,540.4399988807,518.60203017496,485.52591687304,439.4172171328,378.93660472539,303.78374282164,215.17441100456,116.04709423575,10.879375248458,9.8096699195357,8.7342586611427,7.6537469655149,6.5687502441842,5.4798926745863,4.3878060126826,3.2931283760089,2.1965030017686,1.0985769847515,0
170,551.19991755667,546.98311063118,533.96287250776,511.11292393916,476.99622796949,430.15528532418,369.59998146823,295.30520728421,208.59519609017,112.28636154519,10.503849536504,9.4697709851312,8.4305849392052,7.3868357455645,6.3390758217755,5.2878647098572,4.2337681053618,3.1773568650603,2.1192059966066,1.0598936336559,0
180,545.38796791611,540.94946952583,527.31767587422,503.62287950242,468.67252941245,421.30818476157,360.83730968262,287.4572825101,202.56671538779,108.86287796627,10.164615295302,9.1628675015808,8.1565078782629,7.1460297132315,6.1319329733182,5.1147235163593,4.094912284732,3.0730144828375,2.0495487410818,1.025036268972,0
190,539.31205058708,534.68594913195,520.54153289796,496.1541704341,460.55300284289,412.84320609235,352.58579643385,280.15890259232,197.01110977712,105.72624160533,9.8558626085614,8.88365495356,7.9072514691662,6.9271023220538,5.9436632806338,4.9573950510525,3.9687625988735,2.9782344583677,1.9862820313909,0.99337887787576,0
200,533.01522939576,528.23309392513,513.66676431748,488.72392163993,452.63253404063,404.72889664008,344.79004098432,273.34150693982,191.86421393463,102.83556790007,9.5729833021157,8.6279320197649,7.679037806061,6.7267140662873,5.7713789552211,4.8134548120355,3.8533675838867,2.8915462397169,1.9284221758428,0.96442861493241,0
210,526.53697242396,521.62758448314,506.72140682306,481.34533282082,444.90411505758,396.93577476131,337.40131621848,266.9468042293,187.07262734102,100.15727566657,9.3122590700437,8.3923124751262,7.4688249836318,6.5421784115356,5.6127586379987,4.6809551204521,3.7471604005763,2.8117696024147,1.8751799238862,0.93779012298822,0
220,519.91297638881,514.90226113194,499.72971043858,474.02860374592,437.35978503049,389.43667291967,330.37684255778,260.92499982521,182.59153264077,97.663487929191,9.0706470683879,8.1740277140156,7.2741279092999,6.3713021398083,5.4659083935493,4.5583077419188,3.6488639132129,2.737942859721,1.8259123194356,0.91314137343407,0
230,513.17519407992,508.08628238023,492.71259726337,466.78162954435,429.99124720185,382.20684836716,323.67909955563,255.23338067755,178.38304482242,95.330853583247,8.8456280047564,7.9707871638688,7.092891909526,6.2122729406772,5.3292639950461,4.4442014847726,3.5574241259092,2.6692725626164,1.7800889869121,0.89021675484861,0
240,506.35199072686,501.20536238909,485.68807544142,459.61052222855,422.79026163633,375.22395200698,317.27519460251,249.83517595656,174.41494281948,93.139663015174,8.6350957137883,7.780677013385,6.9234011857612,6.06357811799,5.2015203486958,4.3375427495327,3.4719622015348,2.6050972670408,1.7372678579126,0.86879490077263,0
250,499.46837618339,494.28204896147,478.67160788057,452.52000255158,415.74888451156,368.46791434439,311.13629485243,244.69863135563,170.65968056408,91.073172886398,8.4372750840057,7.6020850625809,6.76421097979,5.9239444263748,5.0815793185532,4.237411618208,3.3917390487589,2.5448608073109,1.6970772736838,0.84868971693553,0
260,492.54627603388,487.33601623115,471.6764380391,445.51369577078,408.85960389752,361.92078662119,305.23712178679,239.79625020172,167.09360516855,89.117082325941,8.2506598440523,7.4336438350665,6.6140962861893,5.792292632279,4.9685103571774,4.1430287468014,3.3161286385743,2.4880921677026,1.659202510809,0.82974362744429,0
