time,-p1,-p2,-p3,-p4,-p5,-p6,-p7,-p8,-p9,-p99,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
890,182.4949081968,180.29279232083,173.73956674672,162.99332098552,148.31331170559,130.05372726923,108.65516298059,84.634007773519,58.569994146487,31.092209080485,2.8639030033815,2.579496656493,2.2944644886751,2.0088756520139,1.7227994338573,1.4363052399803,1.1494625777208,0.86234103909126,0.57501028386835,0.28754002266674,0
900,179.59680059164,177.429641827,170.98044720292,160.40480465724,145.95786651005,127.98821025817,106.92944619916,83.289770067252,57.639709045417,30.598354512037,2.8184133043592,2.5385243725026,2.2580195732916,1.9769669590352,1.6954347151267,1.4134911434799,1.131204645936,0.8486437076476,0.56587688044006,0.28297276615825,0
910,176.74470007691,174.61194523825,168.26513493237,157.85739407594,143.63983414375,125.9555090508,105.23115343925,81.966898964117,56.724213481468,30.112352144347,2.7736469819709,2.4982036347184,2.222154213703,1.9455656891237,1.6685051621248,1.3910398484974,1.1132370623543,0.83516419977976,0.5568887224593,0.27847814129358,0
920,173.93787840054,171.83898283181,165.59293564967,155.35043684154,141.35861974871,123.95510083786,103.55984691472,80.665052754067,55.823270581475,29.634076088737,2.7295924261182,2.4585239852061,2.1868591069271,1.9146636967305,1.6420037889088,1.3689455305613,1.0955551655302,0.82189901831365,0.54804347795746,0.27405498193262,0
930,171.17561856558,169.11004603774,162.96316591055,152.88329086168,139.11363800396,121.98647132682,101.91509608423,79.383895461989,54.936647492487,29.163402609239,2.6862382268681,2.4194751464237,2.1521251105238,1.8842529769303,1.6159237301822,1.3472024658169,1.0781543745637,0.80884472651417,0.53933885527292,0.26970214209311,0
940,168.45721469166,166.42443729767,160.37515296363,150.4553241949,136.90431296243,120.04911457897,100.29647749833,78.123096716756,54.064115284479,28.700210068564,2.6435731692322,2.3810470165041,2.1179432383884,1.8543256617305,1.5902582381228,1.3258050283782,1.0610301869772,0.79599794649107,0.53077260198725,0.26541849541829,0
950,165.78197187338,163.78146992112,157.82823460144,148.0659148954,134.73007789197,118.14253285263,98.703574653951,76.882331627509,53.205448858949,28.244378877471,2.601586228291,2.3432296648533,2.0843046568265,1.8248740166273,1.5650006794237,1.3047476878566,1.0441781767358,0.78335535771231,0.52234250393329,0.26120293468084,0
960,163.14920603648,161.18046794018,155.32175901113,145.71445085957,132.59037512018,116.266236452,97.13597785541,75.661280666404,52.360426862726,27.795791447205,2.5602665646295,2.3060133280283,2.0512006808796,1.7958904373823,1.5401445325246,1.2840250070495,1.0275939923953,0.77091369561312,0.51404638426706,0.25705437131851,0
970,160.55824379233,158.62076596285,152.85508462517,143.40032967417,130.48465588283,114.41974358115,95.593284081361,74.459629557123,51.52883160643,27.354332144616,2.519603520043,2.2693884058608,2.0186227708696,1.7673674469916,1.5156833850082,1.2636316397667,1.0112733553606,0.75866975028862,0.50588210259534,0.25297173499766,0
980,158.00842229131,156.10170902568,150.42757997241,141.12295846646,128.41238017577,112.6025802026,94.075096857073,73.277069168567,50.710448987077,26.919887249695,2.4795866134846,2.2333454577988,1.9865625291393,1.739297692827,1.4916109311451,1.2435623287811,0.99521205824423,0.74662036526098,0.49784755415326,0.24895397320196,0
990,155.49908907554,153.62265244616,148.03862352972,138.88175375605,126.37301660991,110.81427990033,92.581026131552,72.113295413206,49.905068414404,26.492344915264,2.4402055372322,2.1978751994487,1.9550116969702,1.7116739439338,1.467920969573,1.2238119038918,0.97940596331456,0.7347624363151,0.48994066902756,0.24500005084381,0
1000,153.02960193131,151.18296167503,145.68760357439,136.67614130882,124.36604226939,109.05438374667,91.110688159066,70.968009149608,49.112482740524,26.071595128584,2.4014501532454,2.1629684992868,1.9239621516533,1.6844890884621,1.4446074010915,1.2043752800831,0.96385100102148,0.72309291039111,0.48215941141769,0.24110894989471,0
